PatternID,Text,Cause,Effect
15,"Saturn is actually less dense than water. This means that if there were a bathtub big enough, Saturn would float! In Roman mythology, Saturn was the father of Jupiter.",there were a bathtub big enough,Saturn would float !
100,The rings appear tilted. This is because Saturn is tilted about 27 degrees to its side. The Voyager 1 spacecraft visited Saturn in 1980.,Saturn is tilted about 27 degrees to its side .,The rings appear tilted
76,"Some of the very small moons are found within the rings. All the particles in the rings are like little moons, because they orbit around Saturn. Someone must decide which ones are large enough to call moons.",they orbit around Saturn .,All the particles in the rings are like little moons
76,The planet was first discovered with a telescope by the astronomer William Herschel in 1781. Uranus is faint because it is very far away. Its distance from the Sun is 2.8 billion kilometers (1.8 billion miles).,it is very far away .,Uranus is faint
80,Scientists think Triton did not form around Neptune. The satellite was captured by Neptunes gravity as it passed by. ,it passed by .,The satellite was captured by Neptunes gravity
72,Astronomers believe that both of these spots represent gaps in the methane clouds on Neptune. Neptunes appearance changes due to its turbulent atmosphere. Winds are stronger than on any other planet in the solar system.,its turbulent atmosphere,Neptunes appearance changes
100,The rapid winds surprised astronomers. This is because Neptune receives little energy from the Sun to power weather systems. It is not surprising that Neptune is one of the coldest places in the solar system.,Neptune receives little energy from the Sun to power weather systems .,The rapid winds surprised astronomers
100,Uranus did not always appear exactly where it should. They said this was because a planet beyond Uranus was pulling on it. This gravitational pull was affecting its orbit.,a planet beyond Uranus was pulling on it .,They said
71,"It was just where scientists predicted it would be! Due to its blue color, the planet was named Neptune for the Roman god of the sea. Uranus and Neptune are often considered sister planets.",its blue color,the planet was named Neptune for the Roman god of the sea .
0,"However, Uranus is tilted on its side. So the rings are almost perpendicular to the planets orbit. We have discovered 27 moons around Uranus.","However , Uranus is tilted on its side",the rings are almost perpendicular to the planets orbit .
0,Its axis is almost parallel to its orbit. So Uranus rolls along like a bowling ball as it revolves around the Sun. How did Uranus get this way?,Its axis is almost parallel to its orbit,Uranus rolls along like a bowling ball as it revolves around the Sun .
29,"These materials include water, ammonia, and methane. Uranus is also different because of its blue-green color. Clouds of methane filter out red light.",Uranus is also different,. Clouds of methane filter out red light
134,These clouds are hard to see in normal light. The result is that the planet looks like a plain blue ball. Uranus is the least massive outer planet.,These clouds are hard to see in normal light,the planet looks like a plain blue ball .
15,"Gravity is actually weaker than on Earths surface. If you were at the top of the clouds on Uranus, you would weigh about 10 percent less than what you weigh on Earth. ",you were at the top of the clouds on Uranus,you would weigh about 10 percent less than what you weigh on Earth .
0,"A meteoroid is dragged towards Earth by gravity and enters the atmosphere. Friction with the atmosphere heats the object quickly, so it starts to vaporize. As it flies through the atmosphere, it leaves a trail of glowing gases.",Friction with the atmosphere heats the object quickly,it starts to vaporize .
80,"Friction with the atmosphere heats the object quickly, so it starts to vaporize. As it flies through the atmosphere, it leaves a trail of glowing gases. The object is now a meteor.","it flies through the atmosphere , it leaves a trail of glowing gases .","with the atmosphere heats the object quickly , so it starts to vaporize ."
15," If you look at the sky on a dark night, you may see a meteor, like in Figure 25.33. A meteor forms a streak of light across the sky.",you look at the sky on a dark night,"you may see a meteor , like in Figure 25.33 ."
